TOSPCD,TOSPDSC
SK707A,"ARTERY, INTRACRANIAL, ANEURYSM/ARTERIO-VENOUS MALFORMATION, EMBOLISATION"
SK708A,"ARTERY, INTRACRANIAL, THROMBOSIS, PERCUTANEOUS CATHETER DIRECTED THROMBOLYSIS/THROMBECTOMY"
SK709A,"ARTERY, INTRACRANIAL, TUMOUR, PERCUTANEOUS TRANSCATHETER EMBOLIZATION"
SK710A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, DIAGNOSTIC CEREBRAL ANGIOGRAPHY"
SK711A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY"
SK712A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, STENTING"
SK713A,"ARTERY, SPINAL, ANEURYSM/ARTERIO-VENOUS MALFORMATION, EMBOLISATION"
SK714A,"ARTERY, SPINAL, TUMOUR, PERCUTANEOUS TRANSCATHETER EMBOLIZATION"
SK715A,"ARTERY, SPINAL, VARIOUS LESIONS, DIAGNOSTIC ANGIOGRAPHY"
SK716A,"ARTERY-CAROTID, ANEURYSM-REPAIR/GRAFTING"
SK717A,"ARTERY-CAROTID, ARTERIO-OCCLUSIVE LESIONS, EXTERNAL CAROTID INTERNAL CAROTID BYPASS, COMPLEX"
SK800A,"ARTERY, ARTERIO-VENOUS FISTULA, LIGATION"
SK801A,"ARTERY-CAROTID, ARTERIO-OCCLUSIVE LESIONS, EXTERNAL CAROTID INTERNAL CAROTID BYPASS, SIMPLE"
SK802A,"ARTERY-CAROTID, ATHEROSCLEROSIS, CAROTID ENDARTERECTOMY"
SK803A,"ARTERY-CAROTID, CAROTID BODY TUMOR, EXCISION"
SK700B,"BRAIN, ACOUSTIC TUMOR/CEREBELLO-PONTINE ANGLE TUMOR, EXCISION, COMPLEX"
SK701B,"BRAIN, ANEURYSM/ARTERIO-VENOUS MALFORMATION, CLIPPING/EXCISION, COMPLEX"
SK702B,"BRAIN, CORTICAL STIMULATION/MAPPING FOR FUNCTIONAL NEUROSURGERY"
SK703B,"BRAIN, DEEP BRAIN STIMULATION, BILATERAL"
SK704B,"BRAIN, DEEP BRAIN STIMULATION, UNILATERAL"
SK705B,"BRAIN, EPILEPSY, CRANIOTOMY, COMPLEX (AWAKE CRANIOTOMY)"
SK706B,"BRAIN, HYDROCEPHALUS AND OTHER LESIONS, VENTRICULOATRIAL/VENTRICULOPERITONEAL SHUNT, BILATERAL"
SK707B,"BRAIN, HYDROCEPHALUS, EXTERNAL VENTRICULAR DRAINAGE, BILATERAL"
SK708B,"BRAIN, INTRACEREBRAL TUMOR, BIOPSY AND/OR DECOMPRESSION/REMOVAL VIA CRANIOTOMY, COMPLEX"
SK709B,"BRAIN, INTRACRANIAL EXTRACEREBRAL TUMOR, CRANIOTOMY & REMOVAL, COMPLEX"
SK710B,"BRAIN, INTRACRANIAL EXTRACEREBRAL TUMOR, CRANIOTOMY/HEMISPHERECTOMY"
SK711B,"BRAIN, VARIOUS LESIONS, PALLIDOTOMY/THALAMOTOMY/OTHER STEREOTACTIC PROCEDURE - BILATERAL"
SK712B,BRAIN/SPINE ENDOSCOPIC CSF (CEREBROSPINAL FLUID LEAK) LEAK REPAIR
SK800B,"BRAIN AND SPINE, ARACHNOIDAL CYST, OPERATION"
SK801B,"BRAIN, ACOUSTIC TUMOR/CEREBELLO-PONTINE ANGLE TUMOR, EXCISION, SIMPLE"
SK802B,"BRAIN, ANEURYSM/ARTERIO-VENOUS MALFORMATION, CLIPPING/EXCISION, SIMPLE"
SK803B,"BRAIN, CAROTICO-CAVERNOUS FISTULA, EXTRACRANIAL AND INTRACRANIAL TRAPPING"
SK804B,"BRAIN, EPILEPSY, CRANIOTOMY, SIMPLE"
SK805B,"BRAIN, HYDROCEPHALUS AND OTHER LESIONS, VENTRICULOATRIAL/VENTRICULOPERITONEAL SHUNT"
SK806B,"BRAIN, HYDROCEPHALUS, EXTERNAL VENTRICULAR DRAINAGE, UNILATERAL"
SK807B,"BRAIN, HYDROCEPHALUS, REVISION/REMOVAL OF SHUNT"
SK808B,"BRAIN, HYDROCEPHALUS, SPINO-PERITONEAL SHUNT"
SK809B,"BRAIN, HYDROCEPHALUS, THIRD VENTRICULOSTOMY"
SK810B,"BRAIN, INTRACEREBRAL TUMOR, BIOPSY AND/OR DECOMPRESSION/REMOVAL VIA CRANIOTOMY, SIMPLE"
SK811B,"BRAIN, INTRACRANIAL ABSCESS, CRANIECTOMY AND DRAINAGE"
SK812B,"BRAIN, INTRACRANIAL ABSCESS, DRAINAGE VIA BURR- HOLE"
SK813B,"BRAIN, INTRACRANIAL ABSCESS, EXCISION"
SK814B,"BRAIN, INTRACRANIAL EXTRACEREBRAL TUMOR, CRANIOTOMY & REMOVAL, SIMPLE"
SK815B,"BRAIN, INTRACRANIAL TUMOR/INTRACRANIAL CYST, BIOPSY/DRAINAGE VIA BURR-HOLE"
SK816B,"BRAIN, TUMOR, VENTRICULAR PUNCTURE THROUGH BURR-HOLE"
SK817B,"BRAIN, VARIOUS LESIONS, PALLIDOTOMY/THALAMOTOMY/OTHER STEREOTACTIC PROCEDURE - UNILATERAL"
SK818B,"BRAIN, VARIOUS LESIONS, INSERTION OF OMMAYA RESERVOIR"
SK700C,"BRACHIAL PLEXUS, BLOCK, CATHETER"
SK701C,"BRACHIAL PLEXUS, BLOCK, NO CATHETER"
SK703C,"BRACHIAL PLEXUS, EXPLORATION AND NEUROLYSIS"
SK703E,"ELECTROCONVULSIVE THERAPY, WITH OR WITHOUT THE USE OF STIMULUS DOSING TECHNIQUES, INCLUDING ANY NECESSARY MONITORING"
SK759E,EXAMINATION UNDER ANAESTHESIA (GENERAL OR REGIONAL) WITHOUT OTHER SURGICAL PROCEDURES
SK700F,"FACIAL, TRIGEMINAL GANGLION BLOCK, ANAESTHETIC"
SK701F,"FACIAL, TRIGEMINAL NERVE BLOCK, NEUROLYTIC"
SK702F,"FACIAL, TRIGEMINAL GANGLION BLOCK, NEUROLYTIC"
SK703F,"FACIAL, TRIGEMINAL NERVE BLOCK, ANAESTHETIC"
SK700L,"SYMPATHETIC NERVES, BLOCK, CATHETER (UNILATERAL/BILATERAL)"
SK701L,"LUMBAR PLEXUS, BLOCK, CATHETER"
SK702L,"LUMBAR PLEXUS, BLOCK, NO CATHETER"
SK703L,"SYMPATHETIC NERVES, BLOCK, ANAESTHETIC (UNILATERAL/BILATERAL)"
SK704L,"SYMPATHETIC NERVES, BLOCK, NEUROLYTIC (UNILATERAL/BILATERAL)"
SK800M,"MENINGES, MYELOMENINGOCELE, EXCISION OF SAC"
SK801M,"MENINGES, MYELOMENINGOCELE, EXTENSIVE REPAIR WITH SKIN FLAPS/Z-PLASTY"
SK700N,"NERVE ROOT, BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE) - CERVICAL, > 1 LEVEL"
SK701N,"NERVE ROOT, BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE) - CERVICAL, 1 LEVEL"
SK704N,"COELIAC PLEXUS, BLOCK, ANAESTHETIC"
SK706N,"COELIAC PLEXUS, BLOCK, NEUROLYTIC"
SK707N,"NERVE (OROFACIAL), DEFECT, GRAFT (MULTIPLE) USING MICROSURGICAL TECHNIQUES (INCLUDE HARVESTING)"
SK708N,"NERVE (OROFACIAL), DEFECT, GRAFT (SINGLE)/NERVE SHARE, USING MICROSURGICAL TECHNIQUES (INCLUDE HARVESTING)"
SK709N,"NERVE (OROFACIAL), INJURY, DECOMPRESSION (MULTIPLE/SINGLE INTRAOSSEOUS)"
SK710N,"NERVE (OROFACIAL), INJURY, DECOMPRESSION (SINGLE)"
SK711N,"NERVE (OROFACIAL), INJURY, MICROSURGICAL REPAIR (MULTIPLE/ SINGLE INTRAOSSEOUS)"
SK712N,"NERVE (OROFACIAL), INJURY, MICROSURGICAL REPAIR (SINGLE)"
SK713N,"NERVE (LOWER LIMB), DISRUPTION, MAJOR RECONSTRUCTION WITH REPAIR AND/OR NEUROVASCULAR TRANSFER"
SK714N,"NERVE (LOWER LIMB), DISRUPTION, MAJOR REPAIR (SINGLE)"
SK715N,"NERVE (LOWER LIMB), ENTRAPMENT SYNDROME, DECOMPRESSION"
SK716N,"NERVE (UPPER LIMB), CARPAL TUNNEL SYNDROME, RELEASE, BILATERAL, (WITH ENDONEUROLYSIS)"
SK717N,"NERVE (UPPER LIMB), CARPAL TUNNEL SYNDROME, RELEASE, UNILATERAL, (WITH ENDONEUROLYSIS)"
SK718N,"NERVE DEFECT, PERIPHERAL GRAFT (MICROSURGERY)"
SK719N,"NERVE (UPPER LIMB), DEFECT, GRAFT (SINGLE) USING MICROSURGICAL TECHNIQUES"
SK720N,"NERVE (UPPER LIMB), DEFECT, GRAFTING/INTERFASCICULAR REPAIR/NEUROVASCULAR TRANSFER"
SK721N,"NERVE (UPPER LIMB), ENTRAPMENT SYNDROME (OTHERS), DECOMPRESSION (BILATERAL)"
SK722N,"NERVE (UPPER LIMB), ENTRAPMENT SYNDROME (OTHERS), DECOMPRESSION (UNILATERAL)"
SK724N,"NERVE (UPPER LIMB), GUYON'S TUNNEL SYNDROME, RELEASE (BILATERAL WITH ENDONEUROLYSIS)"
SK725N,"NERVE (UPPER LIMB), GUYON'S TUNNEL SYNDROME, RELEASE (UNILATERAL)"
SK726N,"NERVE (UPPER LIMB)-MAJOR, INJURY, MICROSURGICAL REPAIR (MULTIPLE)"
SK727N,"NERVE (UPPER LIMB)-MAJOR, INJURY, MICROSURGICAL REPAIR (SINGLE)"
SK729N,"NERVE ROOTS, DORSAL ROOT GANGLION, ANAESTHETIC, MORE THAN TWO"
SK730N,"NERVE ROOTS, DORSAL ROOT GANGLION, ANAESTHETIC, ONE TO TWO"
SK731N,"NERVE ROOTS, DORSAL ROOT GANGLION, RADIOFREQUENCY, NEUROLYTIC, MORE THAN TWO"
SK732N,"NERVE ROOTS, DORSAL ROOT GANGLION, RADIOFREQUENCY, NEUROLYTIC, ONE TO TWO"
SK733N,"PERIPHERAL NERVE, BLOCK, ANAESTHETIC (UP TO 2 NERVES)"
SK735N,"PERIPHERAL NERVE, BLOCK, ANAESTHETIC (MORE THAN 2 NERVES)"
SK736N,"PERIPHERAL NERVE, BLOCK, NEUROLYTIC (UP TO 2 NERVES)"
SK737N,"NERVE ROOT, BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE), LUMBAR/THORACIC, > 1 LEVEL"
SK738N,"NERVE ROOT, BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE), LUMBAR/THORACIC, 1 LEVEL"
SK740N,"PERIPHERAL NERVE, BLOCK, NEUROLYTIC (MORE THAN 2 NERVES)"
SK741N,"NERVE, VAGUS NERVE STIMULATOR"
SK742N,"NEUROSTIMULATOR, INSERTION OF INTERNAL PULSE GENERATOR, INVOLVES OPENING OF WOUND, TUNNELING, OPENING OF POUCH FOR IPG & TESTING OF SYSTEM"
SK743N,"NEUROSTIMULATOR, REVISION/REPLACEMENT OF IMPLANTABLE PULSE GENERATOR (DOES NOT INVOLVE TUNNELING)"
SK744N,"NERVE-DIGITAL, INJURY, MICROSURGICAL REPAIR (MULTIPLE)"
SK745N,"NERVE-DIGITAL, INJURY, MICROSURGICAL REPAIR (SINGLE)"
SK746N,"NERVE-FACIAL PARALYSIS, FREE FASCIA AND/OR NERVE GRAFT (MICROSURGICAL â€“ STAGE 1)"
SK747N,"NERVE-FACIAL PARALYSIS, FREE MUSCLE FLAP (MICROSURGICAL â€“ STAGE 2)"
SK748N,"NERVE-FACIAL PARALYSIS, FREE FASCIA SLING/GRAFT (SINGLE/UNILATERAL)"
SK749N,"NERVE-FACIAL PARALYSIS, LOCAL MUSCLE TRANSFER"
SK758N,"NERVE, FAECAL INCONTINENCE OR OTHER, PERCUTANEOUS TIBIAL NERVE STIMULATION"
SK800N,"NERVE, VARIOUS LESIONS, BIOPSY"
SK801N,"NERVE, VARIOUS LESIONS, PRIMARY/SECONDARY SUTURE"
SK802N,"NERVE-CRANIAL, VARIOUS LESIONS, MICROVASCULAR DECOMPRESSION/NEURECTOMY"
SK803N,"NERVE-CUTANEOUS, INJURY, PRIMARY SUTURE"
SK804N,"NERVE-DIGITAL, INJURY, PRIMARY REPAIR"
SK805N,"NERVE-FACIAL (MASTOID PORTION), ENTRAPMENT, DECOMPRESSION"
SK806N,"NERVE-FACIAL, VARIOUS LESIONS, COMBINED MIDDLE FOSA AND TRANSMASTOID FACIAL NERVE DECOMPRESSION"
SK807N,"NERVE-PERIPHERAL (DEEP), TUMOR, EXCISION"
SK808N,"NERVE-PERIPHERAL (SUPERFICIAL), TUMOR, EXCISION"
SK809N,"NERVE-SYMPATHETIC, VARIOUS LESIONS, SYMPATHECTOMY, WITH/WITHOUT VIDEO-ASSISTANCE, BILATERAL"
SK810N,"NERVE-SYMPATHETIC, VARIOUS LESIONS, SYMPATHECTOMY, WITH/WITHOUT VIDEO-ASSISTANCE, UNILATERAL"
SK811N,"NERVE-TRIGEMINAL (GANGLION), NEUROLAGIA, INJECTION WITH ALCOHOL/RADIOFREQUENCY GANGLIONOTOMY, IMAGING GUIDED"
SK812N,"NERVE, ULNAR, ENTRAPMENT, TRANSPOSITION"
SK800P,"BRACHIAL PLEXUS, EXPLORATION AND/OR NEUROTISATION AND/OR MULTIPLE NERVE GRAFTING/CROSSED NERVE TRANSFERS"
SK701S,"SPINE, IMPLANTATION OF PORT E.G. PORT-A-CATH"
SK702S,"SPINE, FACET JOINT BLOCK (INJECTION OF ANAESTHETIC OR THERAPEUTIC SUBSTANCE), UP TO 3 JOINTS"
SK703S,"SPINE, FACET JOINT BLOCK (INJECTION OF ANAESTHETIC OR THERAPEUTIC SUBSTANCE), MORE THAN 3 JOINTS"
SK704S,"SPINE, FACET JOINT, RADIOFREQUENCY, UP TO 3 JOINTS"
SK705S,"SPINE, FACET JOINT, RADIOFREQUENCY, MORE THAN 3 JOINTS"
SK706S,"SACRAL ROOT BLOCK, NEUROLYTIC, RADIOFREQUENCY, IMAGING GUIDED, UP TO 2"
SK707S,"SACRAL ROOT BLOCK, NEUROLYTIC, RADIOFREQUENCY, IMAGING GUIDED, MORE THAN 2"
SK709S,"SACRUM, GANGLION IMPAR, BLOCK, ANAESTHETIC"
SK710S,"SCIATIC NERVE, BLOCK"
SK711S,"PARAVERTEBRAL REGION, BLOCK, ANAESTHETIC (MORE THAN 2 LEVELS)"
SK714S,"PARAVERTEBRAL REGION, BLOCK, ANAESTHETIC (UP TO 2 LEVELS)"
SK715S,"SACRO-ILIAC JOINT, RADIOFREQUENCY, BILATERAL"
SK716S,"SACRO-ILIAC JOINT, SACROILIAC JOINT BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE), BILATERAL"
SK717S,"SACRO-ILIAC JOINT, SACROILIAC JOINT BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE), UNILATERAL"
SK718S,"SACRO-ILIAC JOINT, RADIOFREQUENCY, UNILATERAL"
SK719S,"SKULL, CRANIOSTENOSIS, OPERATION, CRANIOFACIAL RECONSTRUCTION"
SK720S,"SKULL, INTRACRANIAL HEMORRHAGE, OSTEOPLASTIC CRANIOTOMY/EXTENSIVE CRANIECTOMY, BILATERAL"
SK721S,"SKULL, BURR HOLE, INSERTION OF INTRACRANIAL PRESSURE (ICP) MONITOR"
SK722S,"SKULL, CHIARI MALFORMATION/SYRINGOMYELIA, POSTERIOR FOSSA DECOMPRESSION WITH DURAPLASTY"
SK723S,"SPHENOPALATINE GANGLION - BLOCK, NEUROLYTIC"
SK724S,"SPINAL CORD, STIMULATION/MODULATION, OPEN/CLOSED/PERCUTANEOUS"
SK726S,"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (EXTRADURAL)"
SK727S,"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (INTRADURAL EXTRAMEDULLARY)"
SK728S,"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (INTRADURAL INTRAMEDULLARY)"
SK729S,SPINAL- IMPLANT OF ELECTRICAL PUMP DEVICE
SK730S,"SPINAL/EPIDURAL REMOVAL, REVISION OF IMPLANTED RESERVOIR DEVICE (E.G. PAR)"
SK731S,"SPINE, THORACIC/LUMBAR, EPIDURAL ADHESIOLYSIS, MULTIPLE CATHETER"
SK732S,"SPINE, CERVICAL, EPIDURAL ADHESIOLYSIS, SINGLE CATHETER"
SK733S,"SPINE, THORACIC/LUMBAR, EPIDURAL ADHESIOLYSIS, SINGLE CATHETER"
SK734S,"SPINAL/EPIDURAL, EPIDUROSCOPY"
SK735S,"SACRUM, GANGLION IMPAR, BLOCK, RADIOFREQUENCY, NEUROLYTIC"
SK737S,"SPINE, PERCUTANEOUS IMPLANT OF SPINAL CORD STIMULATOR, (TRIAL), SINGLE LEAD"
SK738S,"SPINE, PERCUTANEOUS IMPLANT OF SPINAL CORD STIMULATOR, (TRIAL), DOUBLE LEADS"
SK739S,"SPINE, REMOVAL OF SPINAL CORD STIMULATOR ELECTRICAL GENERATOR"
SK740S,"SPINE, REPLACEMENT OF COMPUTERIZED RESERVOIR DEVICE (E.G. SYNCHROMED)"
SK741S,"SPINE, REPLACEMENT OF SPINAL CORD STIMULATOR, ELECTRICAL GENERATOR"
SK747S,"SPINE, VARIOUS LESIONS, SYRINGO- ARACHNOID/PLEURAL/PERITONEAL SHUNT"
SK752S,"SPLANCHNIC NERVES, BLOCK, ANAESTHETIC"
SK753S,"SPLANCHNIC NERVES, BLOCK, NEUROLYTIC"
SK754S,"STELLATE GANGLION, BLOCK, ANAESTHETIC"
SK756S,"STELLATE GANGLION, BLOCK, NEUROLYTIC"
SK757S,"SUPERIOR HYPOGASTRIC PLEXUS, VARIOUS LESIONS, IMAGING GUIDED INJECTION OF ANAESTHETIC"
SK758S,"SUPERIOR HYPOGASTRIC PLEXUS, VARIOUS LESIONS, IMAGING GUIDED INJECTION OF NEUROLYTIC, RADIOFREQUENCY"
SK759S,"SPINE, CERVICAL/THORACIC, INJECTION, EPIDURAL, WITHOUT OTHER PROCEDURES"
SK760S,"SPINE, LUMBAR/SACRAL/CAUDAL, INJECTION, EPIDURAL, WITHOUT OTHER PROCEDURES"
SK761S,"SPINE, CERVICAL/THORACIC, INJECTION, INTRATHECAL WITHOUT OTHER PROCEDURES"
SK762S,"SPINE, LUMBAR/SACRAL/CAUDAL, INJECTION, INTRATHECAL WITHOUT OTHER PROCEDURES"
SK763S,"SPINE, CERVICAL, EPIDURAL ADHESIOLYSIS, MULTIPLE CATHETER"
SK764S,"SPHENOPALATINE GANGLION, BLOCK, ANAESTHETIC"
SK800S,"SKULL, COMPOUND FRACTURE WITH DURAL PENETRATION AND BRAIN DAMAGE, OPERATION"
SK801S,"SKULL, COMPOUND FRACTURE WITHOUT DURAL PENETRATION, OPERATION"
SK802S,"SKULL, CRANIOSTENOSIS (MULTIPLE SUTURE), OPERATION"
SK803S,"SKULL, CRANIOSTENOSIS (SINGLE SUTURE), OPERATION"
SK804S,"SKULL, DEFECT, CRANIOPLASTY (LARGE)"
SK805S,"SKULL, DEFECT, CRANIOPLASTY (SMALL)"
SK806S,"SKULL, DEPRESSED/COMMINUTED FRACTURE, ELEVATION"
SK807S,"SKULL, FRACTURE WITH RHINORRHOEA/OTORRHOEA, CRANIOPLASTY AND REPAIR"
SK808S,"SKULL, INTRACRANIAL HEMORRHAGE, BURR-HOLE CRANIOTOMY, BILATERAL"
SK809S,"SKULL, INTRACRANIAL HEMORRHAGE, BURR-HOLE CRANIOTOMY, (UNILATERAL)"
SK810S,"SKULL, INTRACRANIAL HEMORRHAGE, OSTEOPLASTIC CRANIOTOMY/EXTENSIVE CRANIECTOMY, UNILATERAL"
SK811S,"SKULL, OSTEOMYELITIS, CRANIECTOMY"
SK812S,"SPINAL CORD, ANEURYSM/ARTERIO-VENOUS MALFORMATION CLIPPING/ EXCISION"
SK700T,"INTERCOSTAL NERVE, BLOCK, ANAESTHETIC (MORE THAN 3 LEVELS)"
SK701T,"INTERCOSTAL NERVE, BLOCK, ANAESTHETIC (UP TO 3 LEVELS)"
SK702T,"INTERCOSTAL NERVE, BLOCK, NEUROLYTIC (UP TO 3 LEVELS)"
SK703T,"INTERPLEURAL SPACE, BLOCK, CATHETER"
SK704T,"INTERPLEURAL SPACE, BLOCK, NO CATHETER"
SK705T,"INTERCOSTAL NERVE, BLOCK, NEUROLYTIC (MORE THAN 3 LEVELS)"
SK700V,"VEIN, INTRAVENOUS, ANAESTHETIC"
SK701V,"VEIN, INTRACRANIAL, VENOUS SAMPLING"
SK702V,"VEIN, INTRAVENOUS SYMPATHETIC, BIERâ€™S BLOCK"
SL800A,"ANTERIOR CHAMBER PARACENTESIS, IRRIGATION OR REFORMATION"
SL802A,"ANTERIOR CHAMBER, VARIOUS LESIONS, VITREOUS REMOVAL"
SL700B,"BROW, BROWLIFT, ENDOSCOPIC, BILATERAL"
SL701B,"BROW, BROWLIFT, ENDOSCOPIC, BILATERAL WITH MID- FACE LIFT"
SL702B,"BROW, BROWLIFT, ENDOSCOPIC, UNILATERAL"
SL703B,"BROW, DIRECT BROWPLASTY, BILATERAL"
SL704B,"BROW, DIRECT BROWPLASTY, UNILATERAL"
SL819B,"BIOPSY: CORNEAL, LIMBAL, ORAL, CONJUNCTIVA"
SL700C,"CONJUNCTIVA, EXCISION OF PTERYGIUM, BARE SCLERA"
SL701C,"CONJUNCTIVA, PTERYGIUM, REMOVAL, COMPLEX (RECURRENT, DOUBLE, SYMBLEPHARON), WITH OR WITHOUT AMNIOTIC MEMBRANE TRANSPLANT"
SL702C,"CORNEA, ASTIGMATIC KERATOTOMY (WITH OR WITHOUT LIMBAL RELAXING INCISIONS / GRAFT REFRACTIVE SURGERY)"
SL703C,"CORNEA, DESCEMET'S MEMBRANE ENDOTHELIAL KERATOPLASTY (DMEK)"
SL704C,"CORNEA, RIBOFLAVIN-UVA INDUCED COLLAGEN CROSSLINKING TREATMENT FOR CORNEAL ECTASIA (CXL-CROSSLINKING LASER/POST LASIK KERATECTOMY/KERATITIS)"
SL705C,"CORNEA/CONJUNCTIVA, GUNDERSON FLAP"
SL706C,"CORNEAL/OCULAR SURFACE, OSTEO-ODONTO- KERATOPROSTHESIS STAGE 1"
SL707C,"CORNEAL/OCULAR SURFACE, OSTEO-ODONTO- KERATOPROSTHESIS STAGE 2"
SL708C,"CORNEA, FOREIGN BODY, REMOVAL"
SL709C,"CORNEA, SUPERFICIAL KERATECTOMY"
SL800C,"CONJUNCTIVA, LIMBIC TUMOR, REMOVAL"
SL801C,"CONJUNCTIVA, NAEVUS, REMOVAL"
SL802C,"CONJUNCTIVA, PINGUECULA, REMOVAL"
SL803C,"CONJUNCTIVA, PTERYGIUM, REMOVAL WITH CONJUNCTIVAL GRAFT"
SL804C,"CORNEA, BAND KERATOPATHY, REMOVAL WITH ETHYLENE DIAMINE TETRA-ACETIC ACID"
SL805C,"CORNEA, DENDRITIC ULCER, EPITHELIAL DEBRIDEMENT"
SL806C,"CORNEA, VARIOUS LESIONS, KERATOPLASTY, COMPLEX (TECTONIC, THERAPEUTIC, LAMELLAR, DESCEMET STRIPPING AUTOMATED ENDOTHELIAL KERATOPLASTY)"
SL807C,"CORNEA, LACERATION, CONJUNCTIVAL GRAFT OVER CORNEA"
SL808C,"CORNEA, LACERATION, CONJUNCTIVAL PERITOMY/REPAIR BY CONJUNCTIVAL FLAP"
SL809C,"CORNEA, MYOPIA, PHOTOTHERAPEUTIC KERATECTOMY/LASER IN-SITU KERATOMILEUSIS"
SL810C,"CORNEA, VARIOUS LESIONS, TRANSPLANTATION (SUPERFICIAL/LAMELLAR/FULL THICKNESS)"
SL811C,"CORNEA, VARIOUS LESIONS, TRANSPLANTATION WITH CATARACT EXTRACTION AND INTRA-OCULAR LENS IMPLANTATION"
SL700E,"EYE, GLAUCOMA, FILTERING AND ALLIED OPERATIONS (INCLUDING TRABECULECTOMY / SCLERECTOMY) WITH ANTI-METABOLITES"
SL701E,"EYE, GLAUCOMA, GONIOTOMY/TRABECULOTOMY (BILATERAL)"
SL702E,"EYE, GLAUCOMA, GONIOTOMY/TRABECULOTOMY (BILATERAL) - PAEDIATRIC"
SL703E,"EYE, GLAUCOMA, GONIOTOMY/TRABECULOTOMY (UNILATERAL) - PAEDIATRIC"
SL704E,"EYE, GLAUCOMA, SELECTIVE LASER TRABECULOPLASTY (BILATERAL)"
SL705E,"EYE, GLAUCOMA DRAINAGE IMPLANTS EG. AHMED VALVE IMPLANT, MOLTENO IMPLANT , BAERVELDT TUBE SHUNT"
SL706E,"EYE, GLAUCOMA, CYCLODESTRUCTIVE PROCEDURES"
SL707E,"EYE, GLAUCOMA, GONIOSYNECHIOLYSIS"
SL708E,"EYE, SQUINT, COMPLEX STRABISMUS SURGERY (4 OR MORE MUSCLES, TRANSPOSITION, MUSCLE SPLITTING)"
